HOME, HOUSE, APARTMENT, CONDO, BASEMENT, STUDIO, LOFT, HOTEL, BEDROOM, SUITE,  APT , APPARTMENT, BED & BREAKFAST, PRIVATE ROOM, BUNGALOW, BACHELOR, DUPLEX,  ROOM, PRIVATE SUITE, COTTAGE, VILLA, TOWNHOUSE, SHARED, SHARED ROOM, GUEST HOUSE, GUESTHOUSE, GUEST SUITE
-, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, YES, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, YES, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, -, YES, -, -, -, -, -, -, YES, -, -, YES, -, YES, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, -, -, -, -, YES, -, YES, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, YES, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, YES, -, -, -, -, -, -, -
-, YES, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, YES, -, -, -, YES, -, -, -, -, YES, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, YES, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
-, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, YES, -, -, -, -, -, -
-, -, YES, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, YES, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, YES, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, YES, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, YES, -, -, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, YES, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -
-, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, YES, YES, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, YES, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
YES, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, YES, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, YES, -, -, -, YES, -, -, -, -, YES, YES, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, YES, -, YES, -, -, -, -
YES, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
-, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, YES, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, YES, -, -
-, YES, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, YES, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, -, -, YES, -, -, YES, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, YES, -, YES, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, YES, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, YES, -, YES, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, YES, -, -, -, -, -, -
-, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, YES, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, YES, -, -, YES, -, -, -, -
YES, YES, -, -, -, -, -, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, YES, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -
-, -, YES, -, YES, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, YES, YES, -, -, -, -
YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
-, -, YES, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
-, -, -, -, YES, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, YES, -, YES, -, -, -, -
-, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
-, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, YES, -, YES, -, -, YES, -, -, -, -, -, -
-, -, YES, -, YES, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, -, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, YES, YES, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, YES, -, YES, YES, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, YES, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, YES, -, YES, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -
YES, -, -, YES, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
-, -, YES, -, -, YES, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, YES
-, YES, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -
-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
-, -, -, YES, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, YES, -, -, YES, -, -, YES, YES, YES, -, -, -, -, -, -, -, YES, -, -, -, -, YES, -, -, -, -
YES, YES, -, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, YES, -, -, YES, -, -, -, -, -, -
-, -, YES, -, -, -, -, -, YES, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
YES, -, YES, -, -, -, -, -, YES, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
